time,15-19,20-24,25-29,30-34,35-39,40-44,45-49
1950-1955,186.841,254.807,241.832,170.597,108.977,68.114,26.332
1955-1960,193.074,263.308,249.900,176.289,112.612,70.387,27.210
1960-1965,201.308,274.536,260.556,183.807,117.414,73.388,28.371
1965-1970,210.721,287.375,272.740,192.402,122.904,76.820,29.698
1970-1975,215.604,292.488,277.516,206.661,134.218,85.604,28.369
1975-1980,212.615,288.144,274.757,221.324,149.891,95.773,25.176
1980-1985,201.300,282.225,275.958,225.486,158.792,90.287,24.312
1985-1990,179.152,277.774,278.867,233.726,156.157,76.402,26.262
1990-1995,153.200,270.887,286.880,240.885,157.043,73.760,33.505
1995-2000,133.867,263.456,286.904,239.602,159.159,77.135,38.017
2000-2005,119.644,247.883,274.511,237.931,173.416,90.529,35.306
2005-2010,105.554,235.333,269.760,236.912,180.739,89.839,34.843
2010-2015,92.919,221.823,265.072,235.238,188.492,88.073,32.903
