age,pop,S,A,I,R,,prev,prev*pop
0-4,144336,,,18042,,,0.125,18042
05-Sep,110178,,,20933.82,,,0.19,20933.82
Oct-14,84903,,,18678.66,,,0.22,18678.66
15-19,75948,,,15189.6,,,0.2,15189.6
20-24,60425,,,10272.25,,,0.17,10272.25
25-29,61203,,,9180.45,,,0.15,9180.45
30-34,50019,,,7002.66,,,0.14,7002.66
35-39,31658,,,3957.25,,,0.125,3957.25
40-44,28463,,,4838.71,,,0.17,4838.71
45-49,20264,,,5066,,,0.25,5066
50-54,17056,,,3155.36,,,0.185,3155.36
55-59,13763,,,1101.04,,,0.08,1101.04
60-64,12404,,,1116.36,,,0.09,1116.36
65-69,9999,,,899.91,,,0.09,899.91
70-74,6667,,,500.025,,,0.075,500.025
75-79,3538,,,229.97,,,0.065,229.97
80,1272,,,76.32,,,0.06,76.32
